search_name,norm,naissances
Selena,selena,1605.0
Elia,elia,1605.0
Maissa,maissa,1605.0
Maryam,maryam,1605.0
Sonny,sonny,1600.0
Theodore,theodore,1600.0
Nael,nael,1600.0
Georges,georges,1575.0
Pierre-Alexandre,pierre-alexandre,1570.0
Line,line,1570.0
Lorraine,lorraine,1570.0
Achille,achille,1565.0
Ella,ella,1565.0
Gwenael,gwenael,1560.0
Malvina,malvina,1555.0
Louanne,louanne,1555.0
Donia,donia,1545.0
Carl,carl,1540.0
Mila,mila,1540.0
Kahina,kahina,1535.0
Paolo,paolo,1535.0
Hannah,hannah,1535.0
Pierre-Yves,pierre-yves,1530.0
Ryad,ryad,1530.0
Jennyfer,jennyfer,1530.0
Marie-Charlotte,marie-charlotte,1525.0
Ombeline,ombeline,1525.0
Maryline,maryline,1510.0
Zelie,zelie,1510.0
Farid,farid,1505.0
Antonio,antonio,1505.0
Adem,adem,1505.0
Ghislain,ghislain,1505.0
Marwa,marwa,1500.0
Ilyas,ilyas,1500.0
Marie-Lou,marie-lou,1500.0
Andrew,andrew,1500.0
Zacharie,zacharie,1500.0
Abel,abel,1500.0
Leny,leny,1500.0
Noelie,noelie,1500.0
Maurane,maurane,1500.0
Lauryn,lauryn,1500.0
Alexiane,alexiane,1495.0
Abdelkader,abdelkader,1495.0
Matthew,matthew,1495.0
Mina,mina,1490.0
Laurane,laurane,1485.0
Alienor,alienor,1480.0
Yves,yves,1475.0
Ema,ema,1475.0
Kelian,kelian,1475.0
Claude,claude,1475.0
Djibril,djibril,1470.0
Lorena,lorena,1470.0
Megan,megan,1470.0
Thea,thea,1460.0
Clovis,clovis,1455.0
Domitille,domitille,1455.0
Rosalie,rosalie,1455.0
Frédérique,frederique,1445.0
Marie-Laure,marie-laure,1445.0
Geraldine,geraldine,1440.0
Sharon,sharon,1435.0
Shannon,shannon,1430.0
Prisca,prisca,1430.0
Issam,issam,1425.0
Armelle,armelle,1425.0
Anne-Charlotte,anne-charlotte,1425.0
Marie-Amélie,marie-amelie,1420.0
Meryl,meryl,1420.0
Josue,josue,1420.0
Stecy,stecy,1410.0
Juline,juline,1410.0
Mae,mae,1410.0
Edwige,edwige,1405.0
Meriem,meriem,1400.0
Fleur,fleur,1400.0
Matisse,matisse,1400.0
Malaury,malaury,1395.0
Penelope,penelope,1395.0
Juliana,juliana,1390.0
Emy,emy,1390.0
Patrice,patrice,1390.0
Luigi,luigi,1390.0
Peter,peter,1385.0
Lamia,lamia,1385.0
Jawad,jawad,1375.0
Tina,tina,1375.0
Maite,maite,1370.0
Ilana,ilana,1365.0
Didier,didier,1360.0
Youri,youri,1360.0
Hanane,hanane,1360.0
Mehmet,mehmet,1360.0
Ludwig,ludwig,1355.0
Romy,romy,1355.0
Tiffanie,tiffanie,1355.0
Nais,nais,1350.0
Fatma,fatma,1340.0
Mourad,mourad,1335.0
Jarod,jarod,1335.0
Ameline,ameline,1335.0
Grace,grace,1325.0
Yoni,yoni,1320.0
Francis,francis,1320.0
Milena,milena,1320.0
Mallory,mallory,1320.0
Berengere,berengere,1315.0
Maia,maia,1315.0
Jean-Michel,jean-michel,1310.0
Mikail,mikail,1310.0
Anael,anael,1305.0
Charlyne,charlyne,1300.0
Dina,dina,1300.0
Yasin,yasin,1295.0
Laureline,laureline,1295.0
Hedi,hedi,1295.0
Mustafa,mustafa,1285.0
Marwane,marwane,1285.0
Sahra,sahra,1285.0
Regis,regis,1285.0
Youcef,youcef,1285.0
Liza,liza,1280.0
Pascaline,pascaline,1280.0
Loann,loann,1275.0
Matthéo,mattheo,1275.0
Hubert,hubert,1270.0
Kais,kais,1270.0
Andreas,andreas,1270.0
Terence,terence,1265.0
Halima,halima,1265.0
Marielle,marielle,1255.0
Joyce,joyce,1250.0
François-Xavier,francois-xavier,1250.0
Tara,tara,1245.0
Celian,celian,1240.0
Louka,louka,1235.0
Nordine,nordine,1235.0
Nawal,nawal,1235.0
Stanley,stanley,1235.0
Nassima,nassima,1230.0
Paco,paco,1230.0
Soukaina,soukaina,1230.0
Anne-Claire,anne-claire,1230.0
Yan,yan,1225.0
Hector,hector,1225.0
Brieuc,brieuc,1225.0
Salima,salima,1225.0
Tifany,tifany,1220.0
Flavio,flavio,1220.0
Orianne,orianne,1220.0
Freddy,freddy,1220.0
Angie,angie,1220.0
Alexandrine,alexandrine,1210.0
Ilian,ilian,1210.0
Wilson,wilson,1205.0
Evann,evann,1200.0
Jean-Marc,jean-marc,1200.0
Lysa,lysa,1200.0
Timeo,timeo,1195.0
Brendan,brendan,1195.0
Luis,luis,1190.0
Merve,merve,1190.0
Valerian,valerian,1185.0
Adriana,adriana,1185.0
Joe,joe,1185.0
Prescilia,prescilia,1180.0
Cameron,cameron,1175.0
Eglantine,eglantine,1175.0
Johanne,johanne,1175.0
Véronique,veronique,1175.0
Landry,landry,1175.0
Belinda,belinda,1170.0
Jodie,jodie,1170.0
Mattis,mattis,1170.0
Niels,niels,1170.0
Ambroise,ambroise,1170.0
Jean-Pierre,jean-pierre,1165.0
Juliane,juliane,1160.0
Mahamadou,mahamadou,1160.0
Tarik,tarik,1155.0
Billy,billy,1155.0
Yamina,yamina,1155.0
Marouane,marouane,1155.0
Constant,constant,1150.0
Redouane,redouane,1150.0
Mohamed-Amine,mohamed-amine,1145.0
Sidonie,sidonie,1145.0
Carmen,carmen,1140.0
Amal,amal,1140.0
Malorie,malorie,1135.0
Laila,laila,1130.0
Aymen,aymen,1130.0
Isaure,isaure,1130.0
Sabrine,sabrine,1125.0
Servane,servane,1125.0
Idris,idris,1120.0
Jayson,jayson,1120.0
Billal,billal,1120.0
Tifenn,tifenn,1120.0
Irène,irene,1115.0
Isaline,isaline,1110.0
Arno,arno,1110.0
Bastian,bastian,1110.0
Adama,adama,1110.0
Kimberly,kimberly,1105.0
Imad,imad,1105.0
Gatien,gatien,1100.0
Fantine,fantine,1100.0
Sullyvan,sullyvan,1100.0
Aymerick,aymerick,1100.0
Fouad,fouad,1100.0
Emerick,emerick,1095.0
Jenna,jenna,1095.0
Yaelle,yaelle,1095.0
Celina,celina,1095.0
Faycal,faycal,1090.0
Nolwen,nolwen,1090.0
Maxim,maxim,1085.0
Elyes,elyes,1085.0
Gurvan,gurvan,1085.0
Paulin,paulin,1085.0
Danny,danny,1085.0
Lesly,lesly,1080.0
Hichem,hichem,1075.0
Anton,anton,1075.0
Jean-Marie,jean-marie,1075.0
Laly,laly,1070.0
Dana,dana,1065.0
Lilas,lilas,1065.0
Erine,erine,1065.0
Elif,elif,1065.0
Eulalie,eulalie,1060.0
Youness,youness,1060.0
Mareva,mareva,1055.0
Ibrahima,ibrahima,1055.0
Rachelle,rachelle,1055.0
Alvin,alvin,1055.0
Hassan,hassan,1050.0
Audric,audric,1040.0
Elio,elio,1040.0
Alessandro,alessandro,1040.0
Oceanne,oceanne,1035.0
Gino,gino,1035.0
Louann,louann,1035.0
Zinedine,zinedine,1035.0
Virgil,virgil,1035.0
Carolane,carolane,1030.0
Nolann,nolann,1030.0
Abdoulaye,abdoulaye,1030.0
Marvyn,marvyn,1030.0
Leanne,leanne,1030.0
Mehdy,mehdy,1025.0
Randy,randy,1025.0
Nell,nell,1020.0
Swan,swan,1015.0
Issa,issa,1015.0
Mounia,mounia,1010.0
Celestine,celestine,1010.0
Ulrich,ulrich,1010.0
Tiago,tiago,1005.0
Mederic,mederic,1000.0
Bradley,bradley,1000.0
Sandro,sandro,1000.0
Harmonie,harmonie,1000.0
Vicky,vicky,1000.0
Sibel,sibel,995.0
Abdallah,abdallah,995.0
Mia,mia,995.0
Lalie,lalie,995.0
Emie,emie,995.0
Yona,yona,995.0
Timothy,timothy,990.0
Selin,selin,990.0
Joanne,joanne,985.0
Loanne,loanne,985.0
Sean,sean,980.0
Lorelei,lorelei,980.0
Esra,esra,980.0
Hind,hind,980.0
Sidney,sidney,980.0
Maeliss,maeliss,980.0
Fatih,fatih,980.0
Mustapha,mustapha,980.0
Celestin,celestin,980.0
Ophelia,ophelia,975.0
Lylou,lylou,975.0
Mahé,mahe,975.0
Zohra,zohra,975.0
Ahmet,ahmet,975.0
Athenais,athenais,970.0
Auguste,auguste,970.0
Prune,prune,970.0
Ilham,ilham,970.0
Yusuf,yusuf,970.0
Gérald,gerald,970.0
Alize,alize,965.0
Malaurie,malaurie,965.0
Elian,elian,965.0
Giulia,giulia,965.0
Anita,anita,965.0
Jolan,jolan,960.0
Dilan,dilan,960.0
Sylvia,sylvia,960.0
Felicia,felicia,960.0
Anouck,anouck,960.0
Ikram,ikram,960.0
Livia,livia,955.0
Adelie,adelie,955.0
Maelis,maelis,955.0
Pierre-Emmanuel,pierre-emmanuel,955.0
Ambrine,ambrine,955.0
Emilia,emilia,950.0
Lyes,lyes,950.0
Melany,melany,950.0
Alexander,alexander,950.0
Awa,awa,950.0
